τεθνηκότων,ξυμφυγόντες,μνηστηροφονίαν,καταλυομένων,εὐδαιμονιζομένων
δήλωμα,προσείπομεν,ἐπαινούμενα,εὐχείρωτον,εἰωθότος
κορύσσεο,κορύσσει,κορύσσετο,κορύσσομαι,κορύσσεαι
ἁψάμενοι,ταρσοῦ,ἁρπασάμενοι,ὠθοῦσιν,φθάσειαν
περιαγαγεῖν,περιαγαγόντες,περιαγαγὼν,ὑποβαλόντες,χεῖρε
νοσοῦντι,μισοῦντι,πλησμονὰς,Κύρου,ἰατρῶν
μερίς,Μακεδονικὴ,συνεστηκυῖα,Ἅιδαν,ἐπιστατοῦντος
ἠλιβάτοις,ἠλιβάτοιο,ἠλιβάτοισι,ἠλιβάτου,ἠλιβάτῳ
Ἰνδικὰ,Ἰβηρικὰ,Κνίδιος,Μεγασθένης,πλησιάζουσαν
ἐναγῆ,πατραλοίαν,Βοττιαῖοι,δημαρχεῖν,μυσαττόμενοι
κυδαλίμοιο,ὑποθημοσύνῃσιν,γόμφων,ταχὺν,δῶμα
Ἀμφικτύονας,Φωκεῖς,Δωρικοῦ,Ἀμφικτυόνων,Ἀμφικτύονος
).,(,),)·,),
Γάιος,Σέντιος,Σολπίκιος,μὲν,ὀλυμπιὰς
τρέφοντι,εὐφραίνεται,μεταλλῆσαι,δυσχεραίνοντα,ὑπουργοῦντες
πόνηροι,πόνηρε,πόνηρʼ,Πρίαμε,ὦνδρες
καθοπλισμὸν,καθοπλισμοῖς,καθοπλισμοῦ,καρτερίαις,θώραξιν
ἀθύμως,ἡτοιμάζοντο,καταπεπληγμένοι,πορισμὸν,αἰθρίῳ
Περσικῶν,σταφυλῖνον,ἑφθόν,περιουσίαις,Ἐφιάλτῃ
φονέων,ἐλώφησεν,ἀνεσκολόπισεν,κολασθέντων,Βενέτους
ἐγκλίνουσι,ἐγκλίνουσιν,ἐνέκλιναν,ἐγκλίναντες,ἐπιστρέψαντες
πύργον,τεῖχος,πύργους,Στράτωνος,ξύλινον
συνελάμβανε,συνελάμβανεν,στρατιωτικοῖς,συγγνοὺς,μεταποιουμένους
Ναυκράτει,Ναυκράτους,Κολλυτεύς,Μενεξένῳ,Καλλιτέλης
Συβαρίτας,Συβαρίτην,Συβαρίτης,Συβαρίταις,ἐξώκειλαν
κύστιος,ἀσινέως,οὔρων,πυρετοῖσι,κύστι
ἐλεφάντων,ἐλέφαντας,Ἰνδῶν,ἐλέφαντες,μαστίζουσα
φθίσιες,φλεγματώδεες,κωματώδεες,φρικώδεες,ἀσώδεες
Ἀμφιτρύωνα,Ἠλεκτρύωνος,Τίρυνθος,Τηλεβόας,Ἀμφιτρύωνος
λυθὲν,ἰσχνότερον,κέγχρου,ἐπίπλασμα,λάβοιτʼ
ῥητορεία,ῥητορείαις,ῥητορείαν,ῥητορείας,ἀποφαίνῃ
ΜΑΡΤΥΡΙΑΙ,ΨΗΦΙΣΜΑ,ΜΑΡΤΥΡΙΑ,ΕΓΚΛΗΜΑ,ΕΧ
Ἰσμηνίας,αὐλοῦντας,Λεοντιάδης,Ἰσμηνίαν,Ἐπαμεινώνδας
ἀπικόμενος,ἑωυτοῦ,ἀπικόμενον,ἀπίκετο,ἀπικόμενοι
ἐπιπόνων,κρατεῖσθαι,ἀπαλλάξαντα,ἐπιπόνως,πονοῦν
γεγηθότι,γεγηθότα,ἱλαρῷ,πυριβλήτοιο,Ἀνδρέου
μετασχεῖν,μετεσχηκέναι,μετασχόντα,μετεσχηκότα,κοινωνῆσαι
συνελεῖν,συνελευθεροῦν,ἑβδομηκοστόν,περιετείχιζε,τριακοσίαις
έν,αὔλακες,φθείρουσι,Ἀγροτέρᾳ,θανόντι
ἀμητῆρα,αἰχμητῆρα,ἀταρτηροῖο,ἡβητῆρα,ἀμητίσκων
περιδεὴς,μύσους,γεγονὼς,περίφοβος,διηπόρει
τινάσσετο,τινάσσεται,τινάσσει,κονάβησε,ἐπεσμαράγησεν
ὑπηρετῆσαι,γνωσθεῖσιν,ἐθελήσοντας,Ἴσακον,ὁμομητρίῳ
πλεονάζειν,πλεονάζει,κυνηγεσίαις,διχοτόμου,ἐγκαταμέμικται
ἀπρόθυμος,εὐάλωτος,ὑφιέμενος,ἄλοχόν,προσέπεμψεν
ἐνέκλιναν,παραβοηθησάντων,ἐπεξελθόντων,ἀντιστάντες,ἀποχωροῦντες
σπουδάζουσι,σπουδάζουσιν,παραφυλάττουσι,δαπανήματα,ὀλιγωροῦσι
παιδιᾶς,Κακουμένῳ,ὀρχήσεσι,σπουδῆς,ἡδονῆς
διδόμενα,φιδίταις,παραδιδόμενα,διδομένοις,πονήσαντα
ἐξηγοῦντο,ἐξηγοῦνται,μάγοι,Πέργης,μαθόντες
ὄρεσφι,ὄρεσφιν,ὀρυμαγδὸς,ὑετοῖο,ἀλεγεινῶς
φάγετε,Λάβετε,βέβρωκα,ὑπάγετε,αἰτήσεται
συγγένεια,οἰκειότης,λιτάς,διαφορὰ,γαμεταὶ
ἀντιδιδοὺς,ἀντιδιδόντες,ἀντιδιδόναι,Θρασύλοχος,ἑταιρικοῦ
τὼ,γενέσθην,τούτω,θεράποντε,ἄνδρε
διαλεκτικοὶ,διαλεκτικοῦ,πρακτικοὶ,διαλεκτικοῖς,διαλέγοιντο
θυμοῖς,δήγμασι,προσλαμβάνοντες,ξίφεσι,κλινομένης
εἰωθόσι,πλουτίνδην,ἑτεροῖα,ἐξημαρτηκότας,ἀτταταῖ
Ἀρταμουξία,Ἀχαιιάδων,ὑδρηναμένη,ὑποκυσαμένη,ἀγχιμαχηταὶ
Ἀρκάδων,Μεσσηνίων,Λακεδαιμονίων,Μαντινεῦσι,Μεγαλοπολίτιδος
Δημοσθένους,Δημοσθένην,Δημοσθένης,Παιανιεὺς,Θουκυδίδου
λευκοῦ,λίθου,μέλανος,Πεντελησίου,ἀγάλματα
Μυΐσκε,πτανὸς,πανδαμάτειρα,σκῦλʼ,λίσσομʼ
μεσημβρίης,ἀντολίης,ἄρκτοιο,μεσαμβρίης,ἐπιτύμβιον
σταφυλίνου,Πυθαγοριστῇ,εὐχυλότερον,κοριοειδέες,λάβρακες
αἱρετικοὺς,αἱρετικὸν,παντοκράτορα,ἐκκλησιαστικῆς,ὀνόματι
Φιλίστου,θεατρικὸν,Διονύσιος,Πλάτωνα,μονοχίτωνας
Ἀρταμουξία,σαρκικοί,σβέσαν,Περσᾶν,ἐλυπήθητε
καταληψόμενος,καταληψόμενον,καταληψομένους,ἀποχωρήσειν,προκαταληψομένους
θνατὰ,θνατὸν,τέκες,θνατοῖσι,κάββαλεν
ἡμιόλια,χωριστά,ἐπιτρίτου,ἑτερότης,πεπερασμένα
διαλεγόμενον,Ὀνήτορος,προσδιαλεγόμενον,ἀπαντῶντα,Εὐκλείδην
συληθέντων,ἱππάρχῳ,συληθέντα,ὁπλοφόροι,Ἀρταμουξία
ὑπευθύνων,δεσμωτῶν,ὑπευθύνους,ἐπηύξησεν,συνεδρεύειν
παραδεδωκότων,παραδεδωκότος,παραδεδωκέναι,κατεψεύδετο,ἀναγράψομεν
σεσαγμένον,φραζώμεθʼ,ἀπηγήσομαι,φραζώμεθα,κεράμιον
παρθένοις,Ἑστιάσι,θυγατράσιν,γυναιξὶν,κλεινὸς
ἥμεθα,δειλαίη,δαινύμενοι,κεκοτηότι,μεταλλᾷς
μέντοιγε,προηγουμένοις,κυβερνητικῆς,παρανομοῦντες,συμφέροντας
ὤκλασε,ὤκλασεν,Ληνεύς,χηλή,ὑπέκλασε
εἴλει,συνειδείη,ῥόος,τυραννικούς,ἐξετάζεσθαι
ὅλοι,γλαῦκοι,Κίρρα,ἁπαλοί,στρόβιλοι
πλάτην,στερρὰν,ὠλέναις,ἀγέρθη,συνάπτον
καταστησαμένων,καταστησαμένοις,καταστησαμένου,παραστησαμένη,καταστημάτων
ἀρτηρίαι,ἀρτηρίαις,φλεβῶν,φλεβός,ἀρτηρίας
ἔ,ἒ,ὀτοτοτοῖ,ὀτοτοτοτοῖ,ὀλόμαν
ἀσφαλεστάτη,ἀσφαλεστάτην,ἀσφαλεστάτῳ,ἀκριβεστάτη,ῥᾴστη
πανταχόθεν,πάντοθεν,ῥαθύμους,ἀνάβασιν,κεκυκλωμένων
·,παρόντας,βασιλείων,ἡγεμόνες,Φαρισαίων
κεκτήμεθα,κολαζόμενον,κολαζόμενος,κολαζόμενοι,ἐπικρατήσαντες
Μάλλιος,Σολπίκιος,ὕπατοι,Οὐαλέριος,Φάβιος
ἐλέγχω,ἐξελέγχω,μεμαρτυρηκὼς,στένω,διεξίω
νομισθεὶς,νομισθείς,διακομισθεὶς,ἀπελύθη,κινδυνεύσειν
ὑπερήφανον,ἀνελεύθερον,ὑπερφίαλον,ἐπαχθές,διανέμησιν
ἀποκρυψάμενος,ἀποκρυψάμενοι,ὑπάρχουσάν,περόνην,Οὐιττίγιδος
Φιλοπάτορος,Φιλοπάτορα,Πτολεμαίου,Φιλοπάτωρ,προπάτορος
Θρασύμαχον,Πῶλον,Θρασύμαχος,Λυσίαν,Πρόδικον
μύστροις,χλιαρὸν,Σκυθίαν,τραφέντων,ἐλάττωμα
ὑποβλέπει,ὑποβλέψας,ἀποβλέπει,ταυρηδὸν,ὑποφαίνων
κλίμακάς,ὑπερέβαινον,καταπλαγέντων,ἤνυσαν,προσβάλλειν
Ἀρκεσίλαος,Ὀλυμπίχου,Ἀρκεσίλαον,Καρνεάδης,στρέφων
μονονουχὶ,προσκυνούμενον,χρυσέ,ἀναγιγνώσκων,προσκυνούμενος
ἀμαθέστατοι,ἀμαθέστερον,πολυμαθέστατος,Κρεώφυλος,πιστότεροι
φηγῷ,περικαλλέϊ,κερασφόρον,ἐπερείσατο,κατενήρατο
πάσχει,κένωσις,ἀπείριτα,ἀκινησίην,ἐξίσταται
ἐβουλήθην,ἠβουλήθην,ἀνδρῶνος,ἱστορίαι,ἐπεισελθόντες
ἀϋτμὴ,ἀϋτμὴν,ἀϋτμήν,ἀϋτμῇ,ἀϋτμή
ὠγαθέ,προσπαίζοντας,ἐγχείρει,συγκαθεύδεις,ἐπιδείξατον
ἐργάζομαι,προσφιλοσοφῶν,ἐγὼ,κέκτημαι,γεωργῶ
στεναγμῶν,στεναγμὸν,δακρύων,κενός,σύνδεσμοι
ἐνθαδί,ἐνθαδὶ,λυποῦσα,ἀκουσόμενος,ὑπακούσει
ἀλεγεινήν,ἀλεγεινῇ,Κασταλίης,πετραίην,ζηλήμων
ἀπείχοντο,ἀποκτείνοντες,ἀπεχόμενοι,συλᾶσθαι,φονευόμενοι
τυραννικὴ,τυραννικὴν,βασκανία,δουλεύοντες,Περσικὴ
οὖλον,ἀτρεμὲς,κεκλήγοντες,δαπέδοισι,ἐέρσης
ἔτει,τριακοστῷ,τετταρακοστῷ,τεσσαρακοστῷ,πεντηκοστῷ
ἀπειρημένον,ἀπειρημένων,ἀπειρημένου,παραπλησίοις,νόμοις
χωρήσειαν,ἐπιχειρήσειαν,μαρτυρήσειαν,φήσειαν,κατετίτρωσκον
ἀργυρέοισι,ἀργυρέοισιν,πορφυρέοισι,ἀργυρέοις,πορφυρέοις
Περσεφόνην,Φερσεφόνην,Περσεφόνη,Νηρέα,Περσεφόνης
Μορρέα,Χαλκομεδείης,ὀμίχλῃ,καλεσσάμενος,θαλερὴ
59,λιπαρὴ,αἰπήν,ἔμβα,πολυκλήϊσι
ἐπισήμους,θαυμαζομένους,συνετώτεροι,λιθοφόρους,ἀθεμίτου
ἕψομαι,ὀλβίζω,ἀφίξομαι,βοήσω,σιωπήσομαι
μόλιβδον,μόλιβδος,ὄμφακος,ἀγκύραις,ἀπλανέος
ταράσσεσθαι,πράσσεσθαι,ταράσσεται,ταράσσει,ταράσσῃ
ἡμίβρωτα,διαίνων,κοτυλήρυτον,κέχυνται,ἀλλᾶντα
ἀκροωμένου,ἀκροωμένους,ἀκροωμένοις,Ἰνοῖ,προφαινόμενον
κέλητι,συνωρίδι,κέλητα,κέλης,κάλπης
ἔνστασιν,ἔνστασις,γνωστικὴν,τελειοτέραν,κατέληξεν
δεξιοί,Ἀρταμουξία,ἀγχιμαχηταὶ,ἀτταταῖ,ἀνασχετά
ἀναθήματα,Σινὰ,κάλλιστα,ὁμοφύλοις,κακά
κεχηνότας,μεμηνότας,κεχηνότα,βλέμματος,ἀπολιποῦσαι
συμμάχῳ,διακόνῳ,ὡμολογημένοις,ἀνελπίστῳ,σύμμαχόν
διαλύοντος,διαλύοντα,διαλύοντας,παραλύοντος,διαλύονται
προθεσπίζων,προθεσπίζει,θεσπίζει,θεσπίζων,ἀπιστήσεις
Δημαρήτου,Δημαρήτῳ,Λευτυχίδης,Δημάρητος,Λευτυχίδεω
θυέων,τρομερῷ,Σελάνα,ἀντομένη,λοιβῆς
εὐτελέστατα,εὐτελέστατος,εὐτελέστερον,εὐτελέστεροι,εὐτελέστερα
φιλοπλουτίας,φιλοπλουτίαν,φιλαρχίας,ἔσβεσαν,ἀμαυρῶσαι
ὑπομνηστέον,ὑπομνησθῆναι,ἐξαμαρτάνωσιν,ὑπομνησθεὶς,ἐνδεικνυμένους
μετατίθησι,μετατίθησιν,μετατίθενται,μετατίθεσθαι,ἀναστρέφων
πρεσβευομένοις,σατράπαις,διαλεχθησομένους,πρεσβευομένους,προσαρμοζέτω
Ἀλφειοῦ,Ἀλφειόν,Εὐρώτα,Ἀλφειῷ,Ἠλείας
ἐξαμαρτάνουσι,ἐξαμαρτάνουσιν,διαμαρτάνουσι,ὑπέχουσι,δυνηθῇς
Ἄχαβον,Ἀδάδου,Ἄχαβος,Ἰσραηλιτῶν,Δαμασκοῦ
φιληρέτμοισι,Ἀρταμουξία,ξας,βάκκαριν,ὀνειδιζόμενός
δυνάστου,καταπλέοντος,φρουρεῖται,συμπράττοντος,Κίρταν
ἀτραπὸν,ἑτέρῃσι,ἀτραπόν,διεμέτρεε,Ἀσσυρίην
ὑπʼ,ὑπὸ,ἀγκυλόδοντι,ὑπ,Πηλιὰς
ὁτιδήποτε,βα,θαρραλέων,προβληθέντος,ἑλκομένου
ἀφίκετό,εὔκαιρος,προσηγορία,τοξότην,περιστερὰ
οἰομένη,Ἐνιπεῦ,δακρύοντα,καταφιλοῦσα,χλαμύδιον
Κεγχρεὰς,Κορινθιακῷ,διερχόμενον,Κεγχρεῶν,μετεωροτέραν
ἔτευξα,Ἁρμονίην,Γερήνιος,πότνιαι,βέλεμνον
θαλίῃσι,ἄεξε,μέλεσσι,μελίῃσι,θαλίῃς
στυπτηρίην,ητίνην,στυπτηρίη,καταπλάσσειν,φλεγμαίνῃ
πορνοβοσκὸν,πορνοβοσκὸς,Ἀγαθόκλειαν,Οἰνάνθην,κομίσασα
λογίζοιτο,ἐπανιὼν,Ἀττικὰ,μισθοφορίαν,εἰληφότων
πραχθέντʼ,κριθέντʼ,δοθέντʼ,κύριʼ,ἠνύσθαι
μαντεύσατο,ἐμαντεύσατο,μαντεύσασθαι,ἐμαντεύσαντο,μαντεύσομαι
ἐπικρυπτόμενος,ἐπικρυπτόμενοι,παροξυνθέντων,ἀπελογήθη,Ποθεινὸς
Ἀρταμουξία,συνεγγιζόντων,ὁρμήσειν,ἐλυπήθητε,ἐνέκυρσε
αἱ,προσαρμοζέτω,Εὕρηνται,γλαφυραὶ,μεταλαμβανόμεναι
καταχθέντος,καταχθέντες,καταχθέντας,ἐπίνειόν,μετῴκησαν
ἀπολελείμμεθα,ἐπεδώκαμεν,ἀγανακτοῦμεν,διανοίαις,ἔχρῃζες
ἀξέμεν,ἐξερέω,τετελεσμένον,ἀμφικύπελλον,ἐπίαχον
ἅψεται,ἐπιστήσεται,ἐσθῆτός,σωματικά,νυμφιδίων
χλαῖναν,Ἱππώνακτι,σισύραν,σικυὸν,ὕφαινε
Ἀρταμουξία,ὑδρηναμένη,Χρυσί,σκηψαμένη,Ναάμις
ἀκροκώλια,ἀκροκώλι,δίεφθ,σχελίδας,φλογίδες
ἀμυγδάλων,καρποφόροι,μηλέαις,μέλι,σπαρῇ
στιβάσι,ἄγνος,ἀγνοῆται,εὐχυλότεραι,καθαρείως
φίτυμα,ἔρρε,μητροκτόνον,λώιόν,ἶυγξ
Ὁκόσοισι,πυρετοῖσι,̔,φυσώδεες,φλεγματώδεες
ἀνατιθέντων,ἀνατιθέντας,τιθέντων,προστιθέντων,συντιθέντων
ἰσχύσαντα,ἰσχύσαντας,ἰσχύσαντες,ἰσχύσαντος,βασιλευόμενοι
παροικοῦντες,παροικοῦσιν,παροικοῦντας,παροικοῦσι,ἐπεπορεύοντο
