τεθνηκότων,ξυμφυγόντες,μνηστηροφονίαν,καταλυομένων,εὐδαιμονιζομένων
εὐψυχία,μεγαλοψυχία,εὐψυχίας,εὐψυχίαν,μικροψυχία
εὑρισκομένων,εὑρισκομένου,διακόπτοντες,ἐξεταστὴς,ἐρωτηθεῖσα
Βυζάντιόν,Νικόστρατός,θύννης,Κυψέλων,Περίνθου
ἀπέκτεινε,ἀπέκτεινεν,ἀπέκτειναν,·,μεγάλης
ἔσθε,Κλειοῖ,Ἀπεγλαυκωμένῳ,κλειναῖς,Ἀρχέστρατός
ἀπηλλάγη,Μωαβίταις,ἐτιμήσατο,παρηγορήσας,παρέλιπεν
ἀναστήσασα,στήσασα,καταστήσασα,καλέεσκε,αἰτήσασα
ὑψιλόφου,ἐμιτρώσαντο,τρυφαλείης,σελάγιζον,ἷκε
συννεύει,Ἀρταμουξία,ὑδρηναμένη,φιληρέτμοισι,ἀποκαλυφθήσεται
ἐρήτυε,ἐρήτυεν,ἐρήτυον,Κλυτίοιο,Κορύμβασος
Ἀρταμουξία,κυμαίνει,Περσᾶν,πόρτιες,προσαρμοζέτω
θελήσειας,ἐθελήσειας,νυμφεύεται,νυμφεύσατο,ἐχυτλώσαντο
ἠδυνάμην,ἠδυνάμεθα,δυνάμην,εἴκασαν,ἔκκλητον
δάμεν,λιπαροῖσιν,ὀμφαλόεσσαι,ἀρραγέες,περιηγέες
ἐπέεσσιν,ἐπέεσσι,ἐρητύσασκε,μειλιχίοισιν,νείκεσσεν
Δανίηλον,Δανιήλου,παραφανείσης,προσευχόμενον,Δανίηλος
καλεύμενον,ἱροὺς,Κανωβικὸν,πόλιες,Νείλου
οἰνοφλυγίας,οἰνοφλυγίαν,ἐννοῆσαι,οὑπιχώριοι,ἀναγνωστέον
ἐδυνήθη,Ἀμύκλαν,ἠδυνήθη,λιπαρούσης,Εὔθυμον
Περσᾶν,σβέσαν,Ἀρταμουξία,ἐπιτευκτικούς,φιληρέτμοισι
Ἠλέκτρην,Ἠλέκτρη,Ἠλέκτρης,Ἠλέκτρα,λοχείην
κωμικῶν,Μνηματίῳ,Πρωταγορίδης,κωμικοῖς,Χείρωσι
ἀγρονόμοις,ἀγρονόμοι,ἀγρονόμος,ἀγρονόμους,ἀγρονόμων
καῦμα,ψῦχος,πνῖγος,πόλῳ,Καρμανία
ἠκέσατο,ἠκέσατʼ,θῆκας,αὐδᾷς,ἐυξέστας
ὀφθείη,ὀφθείην,πυλῶνες,ξανθὴ,δορυφοροῦντας
ἤνεγκε,ἤνεγκεν,σφαζομένων,κρατηθεῖσιν,ἀπολύουσαν
τάμνε,τάμνειν,ἐνοσίχθονι,ὄρπηκας,ὀκριόεντι
νήπιε,ἐνέδησε,γελάσσας,ἐπεποίθεσαν,βούλου
ἐπερρίγωσεν,παρέκρουσεν,ἐπερρίγωσε,ἀνεθερμάνθη,οὔρησε
ἐξημμένος,ἐξημμένον,ὑποβολιμαῖος,δοῦλος,ἐλυμαίνετο
ἀπειλὰς,δεήσεις,προσιοῦσα,προσδέχωνται,ῥέξον
καταβαίνοντας,καταβαίνουσα,ἀναβαίνοντας,καταβαίνουσαν,καταβαίνοντι
λιμνάζειν,λιμνάζει,λιμνάζοντος,λιμνάζον,ῥεῖθρον
ὑπερκειμένους,ὑπερκειμένοις,ὑπερκειμένας,ὑπερκειμένην,ὑπερκειμένου
ἕλκοντας,ἀπέφθου,μικρούς,ἀσχήμονος,κρατῆρας
Αἰγύπτιος,μιαρώτατος,ψευδοπροφήτης,ῥίνας,ἀννέφελος
δεσποσύνων,μελοποιῶν,μέτεστι,οἰκέταις,κλέπτειν
ΓΔΖ,ΔΖΗ,ΖΑΒ,ΕΗΒ,ΕΔΑ
ἀσεβεῖν,εὐσεβεῖν,αἰτιαθεὶς,Δελφόν,ἀσεβοῦντα
Μειδίου,Μειδίαν,Δημοσθένης,ἀπαγωγῇ,παραπρεσβείας
